passenger_class,sex,age,fare,cabin_letter,survived
lower_class,male,teenager,30_to_50,U,no
lower_class,male,teenager,10_to_20,U,no
lower_class,male,teenager,under_10,U,no
upper_class,female,teenager,over_100,B,yes
upper_class,male,adult,50_to_75,B,yes
lower_class,female,small_child,10_to_20,U,yes
lower_class,male,unknown,50_to_75,U,yes
lower_class,male,young_adult,under_10,U,no
upper_class,male,old,20_to_30,U,no
middle_class,male,old,10_to_20,U,no
lower_class,male,adult,under_10,U,no
lower_class,female,unknown,under_10,U,yes
upper_class,male,adult,over_100,C,no
lower_class,male,adult,under_10,F,no
